Subject,DTI_mov
8,0
9,0
15,0
19,0
25,1
29,0
31,1
35,0
44,0
51,0
53,0
54,0
56,0
64,0
65,0
69,0
71,0
72,0
75,0
83,0
90,0
93,0
95,0
107,0
108,0
113,0
119,0
121,0
123,1
124,0
125,0
128,0
129,1
134,1
138,0
141,0
143,0
144,0
145,0
149,0
151,0
153,0
154,0
156,0
157,0
161,0
165,0
172,0
173,0
175,0
176,0
177,0
182,0
185,0
186,0
195,0
197,0
198,0
201,0
202,0
205,0
208,1
210,0
212,0
216,0
219,0
221,0
225,0
227,0
230,0
231,0
232,0
235,0
237,0
253,0
256,1
261,0
263,0
264,0
266,1
277,0
288,1
292,0
293,0
300,0
301,0
304,0
307,0
310,0
312,0
313,0
314,1
319,1
320,1
322,0
327,0
331,0
332,0
333,0
344,0
346,0
348,0
353,1
355,1
356,0
357,0
358,0
364,0
369,0
371,0
374,0
381,1
390,0
396,1
399,0
402,1
409,0
413,0
416,0
417,0
423,1
424,0
426,0
427,0
429,0
431,0
432,0
440,1
452,1
456,0
458,1
464,0
469,0
472,0
478,0
480,0
483,1
484,0
485,0
491,0
496,0
499,1
504,0
517,0
526,0
532,0
535,0
536,0
537,1
542,0
544,0
545,0
547,1
548,0
549,1
552,0
566,0
568,0
576,0
577,0
579,0
580,0
592,0
593,0
595,0
598,1
599,0
600,0
602,0
610,0
611,0
615,0
616,0
619,0
623,0
625,0
630,0
631,0
645,0
650,0
651,0
662,0
665,0
670,1
675,0
678,0
684,0
686,1
689,1
691,1
694,1
696,0
712,0
715,0
734,0
739,0
752,0
754,0
761,1
765,0
769,0
783,0
784,0
786,0
789,0
790,0
791,1
795,0
804,1
806,0
815,0
818,0
821,0
829,0
840,0
841,0
848,1
850,0
861,0
863,0
868,0
869,0
874,0
876,0
877,1
878,0
879,0
884,0
891,0
892,0
893,0
894,0
898,0
905,0
906,0
912,0
913,1
914,0
918,0
928,0
934,0
935,0
939,0
940,1
942,0
953,0
954,0
966,0
971,0
982,0
984,0
992,0
994,1
996,0
1005,0
1006,0
1021,0
1026,0
1039,0
1049,1
1076,1
1077,0
1212,0
1213,0
1218,0
1221,0
1224,0
1227,0
1232,0
1234,0
1237,0
1239,0
1242,0
1244,0
1247,0
1249,0
1251,0
1253,1
1260,1
1262,0
1265,0
1267,0
1268,0
1269,0
1271,0
1278,0
1283,0
1291,0
1304,0
1318,0
1320,0
1322,1
1326,0
1333,1
1336,0
1337,0
1338,1
1340,0
1357,0
