Subject,Dicom,Nii,FreeSurfer,Tracula,SPM,Camino,Slicer
8,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
29,0,1,1,1,1,1,1
31,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1
53,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1
73,0,0,0,0,0,1,1
75,1,1,1,1,1,1,0
83,1,1,1,1,1,1,1
90,1,1,1,1,1,1,0
93,1,1,1,1,1,1,0
95,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1
134,1,1,1,1,1,1,0
138,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1
149,1,1,1,1,1,1,0
151,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1
154,0,1,1,1,1,1,1
156,1,1,1,1,1,1,1
157,1,1,1,1,1,1,1
161,1,1,1,1,1,1,0
165,1,1,1,1,1,1,1
172,1,1,1,1,1,0,0
173,1,1,1,1,1,1,1
175,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1
182,1,1,1,1,1,1,1
185,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1
197,0,1,1,1,1,1,1
198,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1
208,1,1,1,1,1,1,0
210,1,1,1,1,1,1,0
212,1,1,1,1,1,1,0
216,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1
232,1,1,1,1,1,1,1
235,1,1,1,1,1,1,1
237,1,1,1,1,1,1,1
253,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1
259,0,0,0,0,0,1,1
261,1,1,1,1,1,1,0
263,1,1,1,1,1,1,1
264,0,1,1,1,1,1,1
266,1,1,1,1,1,1,1
277,0,1,1,1,1,1,1
288,1,1,1,1,1,1,0
292,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1
304,1,1,1,1,1,1,0
307,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1
312,1,1,1,1,1,1,1
313,0,1,1,1,1,1,1
314,1,1,1,1,1,1,1
319,0,1,1,1,1,1,1
320,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1
327,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1
332,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1
353,1,1,1,1,1,1,1
355,1,1,1,1,1,1,1
356,0,1,1,1,1,1,1
357,1,1,1,1,1,1,1
358,1,1,1,1,1,1,1
364,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1
390,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1
399,1,1,1,1,1,1,1
402,1,1,1,1,1,1,0
409,1,1,1,1,1,1,1
413,1,1,1,1,1,1,1
416,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1
423,1,1,1,1,1,1,1
424,1,1,1,1,1,1,0
426,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1
429,1,1,1,1,1,1,1
431,0,1,1,1,1,1,1
432,0,1,1,1,1,1,1
440,1,1,1,1,1,1,1
452,1,1,1,1,1,1,1
456,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1
464,1,1,1,1,1,1,1
469,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1
478,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1
483,1,1,1,1,1,1,1
484,0,1,1,1,1,1,1
485,1,1,1,1,1,1,1
491,1,1,1,1,1,1,1
496,1,1,1,1,1,1,0
499,1,1,1,1,1,1,1
504,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1
526,1,1,1,1,1,1,1
532,1,1,1,1,1,1,1
535,1,1,1,1,1,1,1
536,1,1,1,1,1,1,1
537,0,1,1,1,1,1,1
542,1,1,1,1,1,1,1
544,1,1,1,1,1,1,1
545,1,1,1,1,1,1,1
547,1,1,1,1,1,1,1
548,1,1,1,1,1,1,1
549,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1
566,1,1,1,1,1,1,1
568,1,1,1,1,1,1,0
576,1,1,1,1,1,1,1
577,1,1,1,1,1,0,0
579,1,1,1,1,1,1,1
580,1,1,1,1,1,1,1
592,1,1,1,1,1,1,1
593,1,1,1,1,1,1,1
595,1,1,1,1,1,1,1
598,1,1,1,1,1,0,0
599,1,1,1,1,1,1,1
600,1,1,1,1,1,1,1
602,1,1,1,1,1,1,1
610,1,1,1,1,1,1,1
611,1,1,1,1,1,1,1
615,1,1,1,1,1,1,0
616,1,1,1,1,1,1,1
619,1,1,1,1,1,1,1
623,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1
630,1,1,1,1,1,1,1
631,1,1,1,1,1,1,1
645,1,1,1,1,1,1,1
650,1,1,1,1,1,1,0
651,1,1,1,1,1,1,1
662,1,1,1,1,1,1,1
665,1,1,1,1,1,1,1
670,1,1,1,1,1,1,1
675,1,1,1,1,1,1,1
678,1,1,1,1,1,1,0
684,1,1,1,1,1,1,1
686,1,1,1,1,1,1,1
689,0,1,1,1,1,1,1
691,1,1,1,1,1,1,0
694,1,1,1,1,1,1,0
696,1,1,1,1,1,1,1
712,1,1,1,1,1,1,1
715,0,1,1,1,1,1,1
734,1,1,1,1,1,1,1
739,1,1,1,1,1,1,0
748,0,0,0,0,0,0,0
752,1,1,1,1,1,1,0
754,1,1,1,1,1,1,1
761,1,1,1,1,1,1,1
765,1,1,1,1,1,1,1
769,1,1,1,1,1,1,1
783,1,1,1,1,1,1,1
784,1,1,1,1,1,1,1
786,1,1,1,1,1,1,1
789,1,1,1,1,1,1,1
790,1,1,1,1,1,1,1
791,1,1,1,1,1,1,1
795,1,1,1,1,1,1,0
799,1,1,1,1,1,0,0
804,0,1,1,1,1,1,1
806,0,1,1,1,1,1,1
815,1,1,1,1,1,1,1
818,0,1,1,1,1,1,1
821,0,1,1,1,1,1,1
829,1,1,1,1,1,1,1
840,1,1,1,1,1,1,1
841,0,1,1,1,1,1,1
848,1,1,1,1,1,1,1
850,1,1,1,1,1,1,1
861,1,1,1,1,1,1,1
863,1,1,1,1,1,1,1
868,1,1,1,1,1,1,1
869,1,1,1,1,1,1,1
874,1,1,1,1,1,1,1
876,0,1,1,1,1,1,1
877,1,1,1,1,1,1,1
878,1,1,1,1,1,1,1
879,1,1,1,1,1,1,1
884,0,1,1,1,1,1,1
891,1,1,1,1,1,1,1
892,1,1,1,1,1,1,1
893,1,1,1,1,1,1,1
894,0,1,1,1,1,1,1
898,1,1,1,1,1,1,1
905,1,1,1,1,1,1,1
906,0,1,1,1,1,1,1
912,0,1,1,1,1,1,1
913,1,1,1,1,1,1,0
914,1,1,1,1,1,1,0
918,0,1,1,1,1,1,1
928,1,1,1,1,1,1,1
934,1,1,1,1,1,1,1
935,1,1,1,1,1,1,1
939,1,1,1,1,1,1,1
940,1,1,1,1,1,1,1
942,1,1,1,1,1,1,1
953,1,1,1,1,1,1,1
954,1,1,1,1,1,1,1
965,0,1,1,1,1,1,1
966,1,1,1,1,1,1,1
971,1,1,1,1,1,1,1
982,1,1,1,1,1,1,1
984,1,1,1,1,1,1,1
992,1,1,1,1,1,1,1
994,1,1,1,1,1,1,1
996,0,0,0,0,0,0,0
1005,1,1,1,1,1,1,1
1006,0,1,1,1,1,1,1
1021,1,1,1,1,1,1,1
1026,1,1,1,1,1,1,1
1039,1,1,1,1,1,1,1
1049,1,1,1,1,1,1,1
1063,1,1,1,1,1,1,0
1076,1,1,1,1,1,1,0
1077,1,1,1,1,1,1,1
1212,0,1,1,1,1,1,1
1213,1,1,1,1,1,1,0
1218,1,1,1,1,1,1,0
1221,1,1,1,1,1,1,1
1224,1,1,1,1,1,1,0
1227,1,1,1,1,1,1,0
1232,1,1,1,1,1,1,1
1234,1,1,1,1,1,1,0
1237,1,1,1,1,1,1,0
1239,1,1,1,1,1,1,0
1242,1,1,1,1,1,1,1
1244,1,1,1,1,1,1,0
1247,1,1,1,1,1,1,0
1249,1,1,1,1,0,0,0
1251,1,1,1,1,1,1,0
1253,0,1,1,1,1,1,1
1260,0,1,1,1,1,1,1
1262,1,1,1,1,0,0,0
1265,1,1,1,1,1,1,1
1267,1,1,1,1,1,0,0
1268,1,1,1,1,1,1,0
1269,1,1,1,1,1,1,0
1271,1,1,1,1,1,1,0
1278,1,1,1,1,1,1,0
1283,1,1,1,1,1,0,0
1291,1,1,1,1,1,1,0
1304,1,1,1,1,1,1,0
1318,1,1,1,1,1,1,0
1320,0,1,1,1,1,1,1
1322,1,1,1,1,1,1,0
1326,0,1,1,1,1,1,1
1333,0,1,1,1,1,1,1
1336,1,1,1,1,1,1,0
1337,1,1,1,1,1,1,0
1338,0,1,1,1,1,1,1
1340,0,1,1,1,1,1,1
1357,0,1,1,1,1,1,1
