subject;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior;
8;15208.5;1034.0;14553.4;48163.9;7198.1;4046.9;7143.0;1837.3;1213.8;2682.7;20169.2;3533.3;1667.1;910.1;778.2;3785.8;221.7;1621.3;13832.4;725.7;14997.3;50682.4;7651.0;4422.3;7092.9;1953.3;3573.2;1448.8;807.3;4285.9;199.7;2222.2;0.0;2769.5;0.0;0.0;82.7;0.0;0.0;221.5;947.3;327.2;359.3;418.9;914.0;
9;13448.8;799.1;13988.5;44630.0;7545.7;4159.3;6776.4;1905.3;942.5;2369.5;20702.5;3762.3;1833.0;819.7;748.5;4139.5;153.1;988.1;5873.8;415.4;14846.7;46876.4;8048.9;4365.9;6941.8;1840.0;4024.2;1839.0;808.3;4481.5;203.2;1399.9;0.0;1938.7;0.0;0.0;293.9;0.0;0.0;311.0;985.0;312.0;380.9;400.3;871.3;
15;6843.8;528.1;10213.9;31626.8;5102.2;3261.2;6089.3;1557.7;531.1;1239.5;14593.8;3069.3;1689.8;866.8;653.8;2893.4;143.4;1093.7;5604.0;257.9;9782.3;31861.8;5128.6;3512.4;5649.3;1083.8;3203.1;1665.2;777.6;2983.9;97.8;1598.5;0.0;1282.6;0.0;0.0;59.4;0.0;0.0;262.2;916.1;338.0;384.2;450.7;754.6;
19;7385.4;562.7;15805.4;43186.8;6496.5;3590.0;5386.0;1806.4;503.6;1254.1;19490.0;2876.9;1230.9;526.9;593.6;3562.3;43.8;953.2;7707.2;461.6;15222.3;42539.7;6482.1;3762.2;5258.6;1948.5;3119.1;1207.7;597.4;3874.7;34.4;1099.4;0.0;2574.7;0.0;0.0;93.6;0.0;0.0;287.9;1010.4;381.0;386.9;358.9;850.2;
25;10118.9;538.9;13372.8;43551.1;6976.5;3990.8;6554.6;1841.4;1253.9;2246.0;21211.0;3976.7;1961.0;1103.2;833.5;3708.1;39.9;1180.5;7987.0;495.9;14277.0;44960.7;6700.0;4054.1;6724.0;1498.8;4514.2;2045.6;849.5;4297.5;74.3;1502.7;1.7;1514.7;0.0;0.0;27.4;0.0;0.0;217.7;1066.4;396.6;478.3;451.7;866.7;
29;9497.2;569.3;11796.3;41637.9;6103.0;3558.9;6041.2;1226.6;948.0;1218.1;16039.7;3823.7;2230.1;1125.5;625.8;2932.1;54.0;1148.4;8284.5;603.7;12483.2;42723.4;5643.6;3770.4;5783.8;1233.3;4236.2;1755.0;707.8;3223.7;82.3;1458.2;0.0;2594.2;0.0;0.0;22.1;0.0;0.0;252.9;619.1;351.7;376.9;343.9;807.9;
31;5702.6;402.5;16296.5;52693.8;6404.6;3398.0;7246.7;1696.0;958.7;1125.7;21708.0;4399.9;1695.6;1040.6;743.1;3610.1;72.3;1039.6;3767.4;271.1;16693.5;50076.1;6453.0;3607.7;7248.0;1618.8;3878.1;1622.5;840.1;4004.2;130.8;1715.4;0.0;4986.6;0.0;0.0;59.5;0.0;0.0;159.3;819.9;426.0;385.9;515.0;760.7;
35;5702.6;402.5;16296.5;52693.8;6404.6;3398.0;7246.7;1696.0;958.7;1125.7;21708.0;4399.9;1695.6;1040.6;743.1;3610.1;72.3;1039.6;3767.4;271.1;16693.5;50076.1;6453.0;3607.7;7248.0;1618.8;3878.1;1622.5;840.1;4004.2;130.8;1715.4;0.0;4986.6;0.0;0.0;59.5;0.0;0.0;159.3;819.9;426.0;385.9;515.0;760.7;
44;9745.1;409.4;13264.1;40073.2;7402.4;4238.8;6221.6;1634.9;675.0;994.3;18263.1;4378.2;1620.2;990.6;817.5;3293.6;87.8;1238.1;10608.6;326.4;14300.8;41512.4;6924.6;4618.2;6391.3;1608.1;4557.3;1840.9;740.6;3522.4;126.4;1541.8;1.2;1296.0;0.0;0.0;35.0;0.0;0.0;176.6;1121.0;362.2;405.2;415.6;886.6;
51;8630.7;594.8;10941.9;38504.9;6206.4;3176.0;5208.9;1615.9;705.0;1040.2;15647.5;3223.9;1248.8;758.2;664.6;2743.4;123.9;1043.1;5914.4;300.2;11636.3;39540.1;6243.2;3451.3;4900.9;1408.3;3326.6;1696.0;766.0;2995.4;169.9;1518.5;0.0;1669.5;0.0;0.0;75.8;0.0;0.0;203.5;1033.5;334.5;427.7;420.8;904.0;
